// Móstoles - Navalcarnero
// laborables
diario,529H,navalcarnero,6,00
diario,529A,navalcarnero,6,25
diario,529H,navalcarnero,6,30
diario,529H,navalcarnero,7,00
diario,529H,navalcarnero,7,15
diario,529H,navalcarnero,7,45
diario,529H,navalcarnero,8,00
diario,529H,navalcarnero,8,30
diario,529H,navalcarnero,9,00
diario,529A,navalcarnero,9,25
diario,529H,navalcarnero,9,30
diario,529H,navalcarnero,10,00
diario,529H,navalcarnero,10,30
diario,529H,navalcarnero,11,00
diario,529H,navalcarnero,11,30
diario,529H,navalcarnero,12,00
diario,529A,navalcarnero,12,25
diario,529H,navalcarnero,12,30
diario,529H,navalcarnero,13,00
diario,529H,navalcarnero,13,30
diario,529H,navalcarnero,14,00
diario,529A,navalcarnero,14,25
diario,529H,navalcarnero,14,30
diario,529H,navalcarnero,15,00
diario,529H,navalcarnero,15,30
diario,529H,navalcarnero,16,00
diario,529H,navalcarnero,16,30
diario,529A,navalcarnero,16,55
diario,529H,navalcarnero,17,00
diario,529H,navalcarnero,17,30
diario,529H,navalcarnero,18,00
diario,529H,navalcarnero,18,30
diario,529H,navalcarnero,19,00
diario,529A,navalcarnero,19,25
diario,529H,navalcarnero,19,30
diario,529H,navalcarnero,20,00
diario,529H,navalcarnero,20,30
diario,529H,navalcarnero,21,00
diario,529A,navalcarnero,21,25
diario,529H,navalcarnero,21,30
diario,529H,navalcarnero,22,00
diario,529H,navalcarnero,22,30
diario,529H,navalcarnero,23,00
diario,529H,navalcarnero,23,30
diario,529,navalcarnero,6,55
diario,529,navalcarnero,7,25
diario,529,navalcarnero,7,55
diario,529,navalcarnero,8,25
diario,529,navalcarnero,8,55
diario,529,navalcarnero,9,55
diario,529,navalcarnero,10,25
diario,529,navalcarnero,10,55
diario,529,navalcarnero,11,25
diario,529,navalcarnero,11,55
diario,529,navalcarnero,12,55
diario,529,navalcarnero,13,25
diario,529,navalcarnero,13,55
diario,529,navalcarnero,14,55
diario,529,navalcarnero,15,25
diario,529,navalcarnero,15,55
diario,529,navalcarnero,16,25
diario,529,navalcarnero,17,25
diario,529,navalcarnero,17,55
diario,529,navalcarnero,18,25
diario,529,navalcarnero,18,55
diario,529,navalcarnero,19,55
diario,529,navalcarnero,20,25
diario,529,navalcarnero,20,55
diario,529,navalcarnero,22,25
diario,529,navalcarnero,23,25
// verano
verano,529,navalcarnero,6,10
verano,529A,navalcarnero,7,10
verano,529,navalcarnero,8,10
verano,529,navalcarnero,9,10
verano,529A,navalcarnero,10,10
verano,529,navalcarnero,11,10
verano,529,navalcarnero,12,10
verano,529A,navalcarnero,13,10
verano,529,navalcarnero,14,10
verano,529,navalcarnero,15,10
verano,529A,navalcarnero,16,10
verano,529,navalcarnero,17,10
verano,529,navalcarnero,18,10
verano,529A,navalcarnero,19,10
verano,529,navalcarnero,20,10
verano,529,navalcarnero,21,10
verano,529,navalcarnero,22,10
verano,529,navalcarnero,23,10
verano,529,navalcarnero,24,10
// festivos y findes
verano,529A,navalcarnero,7,10
festivo,529,navalcarnero,8,10
festivo,529,navalcarnero,9,10
verano,529A,navalcarnero,10,10
festivo,529,navalcarnero,11,10
festivo,529,navalcarnero,12,10
verano,529A,navalcarnero,13,10
festivo,529,navalcarnero,14,10
festivo,529,navalcarnero,15,10
verano,529A,navalcarnero,16,10
festivo,529,navalcarnero,17,10
festivo,529,navalcarnero,18,10
verano,529A,navalcarnero,19,10
festivo,529,navalcarnero,20,10
festivo,529,navalcarnero,21,10
festivo,529,navalcarnero,22,10
festivo,529,navalcarnero,23,10
festivo,529,navalcarnero,24,10
// Navalcarnero - Móstoles
// laborables
diario,529H,móstoles,5,30
diario,529H,móstoles,6,00
diario,529A,móstoles,6,00
diario,529H,móstoles,6,30
diario,529H,móstoles,6,45
diario,529H,móstoles,7,00
diario,529H,móstoles,7,15
diario,529H,móstoles,7,30
diario,529H,móstoles,8,00
diario,529A,móstoles,8,00
diario,529H,móstoles,8,30
diario,529H,móstoles,9,00
diario,529H,móstoles,9,30
diario,529H,móstoles,10,00
diario,529H,móstoles,10,30
diario,529H,móstoles,11,00
diario,529A,móstoles,11,00
diario,529H,móstoles,11,30
diario,529H,móstoles,12,00
diario,529H,móstoles,12,30
diario,529H,móstoles,13,00
diario,529H,móstoles,13,30
diario,529H,móstoles,14,00
diario,529A,móstoles,14,00
diario,529H,móstoles,14,30
diario,529H,móstoles,15,00
diario,529H,móstoles,15,30
diario,529H,móstoles,16,00
diario,529A,móstoles,16,00
diario,529H,móstoles,16,30
diario,529H,móstoles,17,00
diario,529H,móstoles,17,30
diario,529H,móstoles,18,00
diario,529H,móstoles,18,30
diario,529A,móstoles,18,30
